CID,ParticipantID,Rep1,Rep2
379,284,5,6
379,285,8,6
379,286,5,6
379,287,8,8
379,288,6,4
379,289,9,9
379,290,6,6
379,291,7,6
379,292,4,5
379,293,6,5
1183,284,2,1
1183,285,1,1
1183,286,1,1
1183,287,1,1
1183,288,1,1
1183,289,1,1
1183,290,1,1
1183,291,1,1
1183,292,1,1
1183,293,3,3
3314,284,6,4
3314,285,4,5
3314,286,2,2
3314,287,5,4
3314,288,4,8
3314,289,6,5
3314,290,4,3
3314,291,5,4
3314,292,6,4
3314,293,5,4
6054,284,4,5
6054,285,7,3
6054,286,6,5
6054,287,6,6
6054,288,3,3
6054,289,4,4
6054,290,2,5
6054,291,4,3
6054,292,7,7
6054,293,2,6
6549,284,3,3
6549,285,3,2
6549,286,3,3
6549,287,2,2
6549,288,2,2
6549,289,2,2
6549,290,5,4
6549,291,3,5
6549,292,2,2
6549,293,4,1
7762,284,1,2
7762,285,2,4
7762,286,7,7
7762,287,3,3
7762,288,7,6
7762,289,3,3
7762,290,3,2
7762,291,2,2
7762,292,3,3
7762,293,8,8
8077,284,10,10
8077,285,9,9
8077,286,8,8
8077,287,10,10
8077,288,10,10
8077,289,8,8
8077,290,8,8
8077,291,9,9
8077,292,8,8
8077,293,7,9
10430,284,9,9
10430,285,10,10
10430,286,9,10
10430,287,9,9
10430,288,9,9
10430,289,10,10
10430,290,10,10
10430,291,10,10
10430,292,10,10
10430,293,10,10
18827,284,7,7
18827,285,6,8
18827,286,4,4
18827,287,7,7
18827,288,8,5
18827,289,7,6
18827,290,9,7
18827,291,6,7
18827,292,5,6
18827,293,1,2
32594,284,8,8
32594,285,5,7
32594,286,10,9
32594,287,4,5
32594,288,5,7
32594,289,5,7
32594,290,7,9
32594,291,8,8
32594,292,9,9
32594,293,9,7
